State,Month,Year,Min_Temp,Max_Temp,Humidity,Rainfall
Andaman and Nicobar,12,2022,26.69,28.64,76.9058064516129,4.169677419354838
Andaman and Nicobar,12,2023,27.85,29.08,77.26322580645162,2.1261290322580644
Andaman and Nicobar,12,2024,27.25,28.55,79.00161290322582,5.1896774193548385
Andhra Pradesh,1,2019,20.79,25.88,67.25193548387097,0.6270967741935485
Andhra Pradesh,1,2020,22.81,26.66,74.60645161290323,0.9535483870967741
Andhra Pradesh,1,2021,21.3,25.74,76.3167741935484,0.10193548387096775
Andhra Pradesh,1,2022,21.49,25.74,73.79322580645162,1.1880645161290324
Andhra Pradesh,1,2023,21.54,25.78,72.06645161290322,0.02129032258064516
Andhra Pradesh,1,2024,22.68,25.85,74.33387096774193,0.01870967741935484
Andhra Pradesh,1,2025,22.72,25.06,72.19387096774193,0.0029032258064516127
Andhra Pradesh,2,2019,23.8,29.08,62.75178571428571,0.1285714285714286
Andhra Pradesh,2,2020,24.95,28.43,64.85862068965517,0.2706896551724138
Andhra Pradesh,2,2021,24.08,27.45,63.75642857142857,0.9192857142857144
Andhra Pradesh,2,2022,23.49,27.74,66.62321428571428,0.0010714285714285715
Andhra Pradesh,2,2023,25.6,28.24,58.12,0.0
Andhra Pradesh,2,2024,25.73,29.52,63.94862068965517,0.0
Andhra Pradesh,3,2019,28.18,32.52,56.59774193548387,0.16709677419354838
Andhra Pradesh,3,2020,28.16,32.3,56.99322580645161,0.16774193548387098
Andhra Pradesh,3,2021,27.4,33.91,52.9441935483871,0.0003225806451612903
Andhra Pradesh,3,2022,27.14,33.37,53.22806451612903,0.005483870967741935
Andhra Pradesh,3,2023,26.82,31.55,59.763548387096776,0.8251612903225806
Andhra Pradesh,3,2024,29.37,31.77,56.534193548387094,0.008387096774193548
Andhra Pradesh,4,2019,30.73,33.52,54.47233333333334,0.5043333333333334
Andhra Pradesh,4,2020,30.24,33.53,55.649,0.7040000000000001
Andhra Pradesh,4,2021,30.03,34.14,54.006,0.42133333333333334
Andhra Pradesh,4,2022,30.6,34.82,57.083999999999996,0.013333333333333334
Andhra Pradesh,4,2023,30.82,35.02,52.61233333333333,0.7406666666666666
Andhra Pradesh,4,2024,31.35,34.81,52.02733333333333,0.021333333333333333
Andhra Pradesh,5,2019,31.82,36.89,50.552580645161285,0.667741935483871
Andhra Pradesh,5,2020,32.62,36.86,50.67774193548387,0.3029032258064516
Andhra Pradesh,5,2021,29.59,34.2,60.7616129032258,1.8496774193548389
Andhra Pradesh,5,2022,28.09,34.01,64.52354838709678,3.6141935483870964
Andhra Pradesh,5,2023,28.57,35.35,58.72709677419355,2.797741935483871
Andhra Pradesh,5,2024,27.19,37.03,62.99354838709677,3.3509677419354835
Andhra Pradesh,6,2019,28.72,36.07,56.528666666666666,2.9626666666666663
Andhra Pradesh,6,2020,27.67,34.27,65.196,3.8433333333333333
Andhra Pradesh,6,2021,28.42,33.28,62.263,3.2153333333333336
Andhra Pradesh,6,2022,28.39,33.12,65.456,2.7670000000000003
Andhra Pradesh,6,2023,28.9,37.53,51.52466666666667,2.1896666666666667
Andhra Pradesh,6,2024,27.54,33.15,67.66533333333334,3.9866666666666664
Andhra Pradesh,7,2019,27.37,32.25,67.74677419354839,5.363548387096775
Andhra Pradesh,7,2020,26.76,29.93,78.8167741935484,7.2458064516129035
Andhra Pradesh,7,2021,26.25,30.52,75.58193548387096,6.630322580645161
Andhra Pradesh,7,2022,27.26,30.77,75.62741935483871,6.65258064516129
Andhra Pradesh,7,2023,26.64,32.1,69.49258064516128,5.443548387096774
Andhra Pradesh,7,2024,26.86,30.89,69.9132258064516,4.786774193548387
Andhra Pradesh,8,2019,26.44,30.22,75.06290322580645,5.163548387096774
Andhra Pradesh,8,2020,26.64,29.11,81.82548387096774,4.485483870967743
Andhra Pradesh,8,2021,26.59,30.79,75.69096774193548,4.506451612903225
Andhra Pradesh,8,2022,26.92,29.65,78.93580645161289,3.930645161290323
Andhra Pradesh,8,2023,27.98,30.94,72.11548387096774,2.5903225806451613
Andhra Pradesh,8,2024,26.24,30.56,77.71225806451612,7.57774193548387
Andhra Pradesh,9,2019,26.09,29.66,81.61733333333333,7.013999999999999
Andhra Pradesh,9,2020,25.89,28.58,85.10033333333334,8.771333333333333
Andhra Pradesh,9,2021,25.94,29.52,79.93766666666667,5.443333333333333
Andhra Pradesh,9,2022,26.0,29.08,78.51666666666667,3.9803333333333333
Andhra Pradesh,9,2023,26.46,30.01,81.18766666666667,6.499
